Variable / Field Name,Form Name,Section Header,Auto extraction,Manual extraction,Needs a review,Num_BCH_MIS_C_Patients (out of 49),concept_cd,concept_desc, concept_path,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
chd_describe,baseline_health_status,,,Notes,,,,,,checkbox,"If Yes, choose categories of CHD that apply to the participant","1, Single ventricle | 2, Hypoplastic left heart syndrome | 3, Tricuspid atresia | 4, Double outlet right ventricle | 5, D-transposition of the great arteries | 6, l-transposition of the great arteries | 7, Total anomalous pulmonary venous return | 8, Pulmonary atresia   | 9, Tetralogy of Fallot | 10, Tetralogy of Fallot with pulmonary atresia | 11, Atrioventricular canal | 12, Coarctation of the aorta | 13, Interrupted aortic arch | 14, Ventricular septal defect | 15, Aortic valve abnormality | 16, Mitral valve abnormality | 17, Pulmonary valve abnormality | 18, Tricuspid valve abnormality | 19, Myocardial abnormality | 20, Pericardial abnormality | 21, Atrial septal defect | 22, Patent ductus arteriosus | 23, Fistulas | 24, Aneurysms | 25, Aortic and branching abnormalities | 26, Systemic venous anomaly | 27, Congenital anomalies of coronary artery origins",,,,,,"[congenital_heart_dx] = ""1""",Y,,,,,
acquired_heart_dx,baseline_health_status,,,,Is it complication?,,,,,radio,"Acquired heart disease (e.g., rheumatic heart disease, coronary artery dilatation from Kawasaki disease, myocarditis)","1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
acquired_heart_dx_list,baseline_health_status,,,Notes,,,,,,text,Describe:,,,,,,,"[acquired_heart_dx] = ""1""",Y,,,,,
cardiac_surgery,baseline_health_status,,,,,,,,,radio,Has the participant undergone cardiac repair (surgery or interventional catheterization) in the past?,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
hypertension,baseline_health_status,,,,,,,,,radio,Systemic hypertension,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
cardiac_lesion,baseline_health_status,,,,,,,,,radio,Does the participant have a cardiac lesion that might present high risk if exposed to SARS-CoV-2? ,"1, Yes | 0, No",,,,,,"[cardiac_hx] = ""1""",Y,RH,,,,
cardiac_lesion_list,baseline_health_status,,,,,,,,,checkbox,Choose all that apply,"1, Early post-operative cardiac participants on mechanical ventilator therapy more 3-4 days | 2, COVID-19-associated myocarditis | 3, S/P Cardiac transplant | 4, Dilated cardiomyopathy >mild (LV EF ≤45%)  | 5, Congestive heart failure for any reason based upon symptoms and signs. | 6, Single ventricle heart disease at any stage (circle whether last stage was Stage 1, Stage 2, or Fontan) | 7, Unrepaired cyanotic heart disease of at least moderate severity, e.g., saturations <85 at rest, or Hgb >4 SD above age-adjusted mean. | 8, Pulmonary artery hypertension with at least one of the following:  ≥ systemic PA pressure, any RV dysfunction, associated lung disease, rheumatologic disorders, or chronic thromboembolic pulmonary hypertension,   | 9, Multivessel pulmonary vein stenosis | 10, Congenital or acquired heart disease with comorbidities of lung disease/S/P tracheostomy/ventilator dependent  | 11, Large left to right shunt lesions (e.g., estimated Qp:Qs >2, symptoms, or LVEDV or RVEDV >4) | 12, Severe heart valve dysfunction (stenosis, regurgitation, or mixed valve disease)  | 13, Right ventricular hypertension (≥70% systemic) or dysfunction (RV EF <45%). | 14, Heterotaxy participants (asplenia or polysplenia) | 15, History of Kawasaki disease | 16, Coronary heart disease, with or without history of myocardial infarction (e.g., Kawasaki disease, homozygous familial hyperlipidemia)",,,,,,"[cardiac_lesion] = ""1""",Y,,,,,
neuromuscular_hx,baseline_health_status,"Neurologic or Neuromuscular Disorders, including:

- Requires assistance clearing secretions
- Muscular dystrophy
- Static encephalopathy
- Spastic quadriplegia (e.g. cerebral palsy)
- Seizure disorder (excluding simple febrile seizures)
- Neuromuscular weakness
- Neurodevelopmental delay
- Other
",,,,,,,,radio,Does the participant have a NEUROLOGIC AND/OR NEUROMUSCULAR DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
secretion_clearance,baseline_health_status,,,,,,,,,radio,Does the participant need assistance with clearance of secretions (suctioning) due to swallowing dysfunction?,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
muscular_dystrophy,baseline_health_status,,,,,,,,,radio,Muscular dystrophy,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
static_enceph,baseline_health_status,,,,,,,,,radio,Static encephalopathy,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
spastic_quad,baseline_health_status,,,,,,,,,radio,Spastic quadriplegia (e.g. cerebral palsy),"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
seizure_disorder,baseline_health_status,,,,,,,,,radio,Seizure disorder (not including simple febrile seizures),"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neuromusc_weak,baseline_health_status,,,,,,,,,radio,Neuromuscular weakness,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neurodev_delay,baseline_health_status,,,,,,,,,radio,Moderate or severe neurodevelopmental delay,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neuromuscular_hx_oth,baseline_health_status,,,,,,,,,radio,Other neurologic or muscular disorder,"1, Yes | 0, No",,,,,,"[neuromuscular_hx] = ""1""",Y,RH,,,,
neuromuscular_hx_oth_list,baseline_health_status,,,Notes,,,,,,text,Please name condition,,,,,,,"[neuromuscular_hx_oth] = ""1""",Y,,,,,
onc_hx,baseline_health_status,Active or Prior Oncologic Disorders,,,,,,,,radio,Does the participant have an active or prior ONCOLOGIC DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
blood_cancer,baseline_health_status,,,,,,,,,radio,"Leukemia, Lymphoma, or unspecified cancer of bloodstream","1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
solid_tumor,baseline_health_status,,,,,,,,,radio,"Solid non-CNS tumor of organ (e.g. renal, heart, liver, lung)","1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
cns_tumor,baseline_health_status,,,,,,,,,radio,Central nervous system tumor,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
neuroblastoma,baseline_health_status,,,,,,,,,radio,Neuroblastoma,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
soft_tissue_neoplasm,baseline_health_status,,,,,,,,,radio,Soft tissue neoplasm (e.g. rhabdomyosarcoma),"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
lung_tumor,baseline_health_status,,,,,,,,,radio,Any tumor in the lung including metastatic disease,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
neoplast_oth,baseline_health_status,,,,,,,,,radio,Other neoplastic condition,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
neoplast_oth_list,baseline_health_status,,,Notes,,,,,,text,Please name each condition:,,,,,,,"[neoplast_oth] = ""1""",Y,,,,,
active_chemo,baseline_health_status,,,,,,,,,radio,Is the participant current on a chemotherapy or other active treatment regimen?,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
bmt_sct,baseline_health_status,,,,,,,,,radio,Has the participant had a bone marrow or stem cell transplant?,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
car_t_therapy,baseline_health_status,,,,,,,,,radio,Has the participant received CAR-T therapy?,"1, Yes | 0, No",,,,,,"[onc_hx] = ""1""",Y,RH,,,,
immune_hx,baseline_health_status,"Non-oncologic Immunosuppressive Disorders, including:

- Solid organ transplant
- HIV positive or AIDS
- Primary immunodeficiency
- Bone marrow transplant for non-oncologic disease
- Other disorder requiring treatment that suppresses immune system",,,,,,,,radio,Does the participant have a non-oncologic IMMUNOSUPRESSIVE DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
organ_transplant,baseline_health_status,,,,,,,,,radio,Solid organ transplant,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
organ_transplant_type,baseline_health_status,,,Notes,,,,,,text,"If Yes, list type:",,,,,,,"[organ_transplant] = ""1""",Y,,,,,
hiv,baseline_health_status,,,,,,,,,radio,HIV positive,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
aids,baseline_health_status,,,,,,,,,radio,AIDS,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
pri_immunodef,baseline_health_status,,,,,,,,,radio,Primary immunodeficiency,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
pri_immunodef_type,baseline_health_status,,,,,,,,,checkbox,"Primary immunodeficiencies, check all that apply","1, Phagocyte disorder (e.g. chronic granulomatous disease, leukocyte adhesion disorder) | 2, Immunoglobulin disorder (e.g. X-linked agammaglobulinemia, IgA deficiency) | 3, Severe combined immunodeficiency disorder | 4, Other primary immunodeficiency disorder",,,,,,"[pri_immunodef] = ""1""",Y,,,,,
pri_immunodef_type_other,baseline_health_status,,,Notes,,,,,,text,"Other primary immunodeficiency disorder, describe:",,,,,,,"[pri_immunodef_type(4)] = ""1""",Y,,,,,
bmt_sct_non_onc,baseline_health_status,,,,,,,,,radio,Bone marrow transplant for non-oncologic disease,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
immune_hx_other,baseline_health_status,,,,,,,,,radio,Other disorder requiring treatment that suppresses the immune system?,"1, Yes | 0, No",,,,,,"[immune_hx] = ""1""",Y,RH,,,,
immune_hx_other_list,baseline_health_status,,,Notes,,,,,,text,Please name disorder,,,,,,,"[immune_hx_other] = ""1""",Y,,,,,
rheum_autoimmune_hx,baseline_health_status,"Rheumatologic/Autoimmune Disorders, including:

- Systemic lupus erythematosus/Mixed connective tissue disease
- Rheumatoid arthritis/juvenile idiopathic arthritis/psoriatic arthritis
- Psoriasis
- Scleroderma
- Vasculitis
- History of Kawasaki disease or Atypical Kawasaki Disease (prior to this illness)
- Other",,,,,,,,radio,Does the participant have a RHEUMATOLOGIC/AUTOIMMUNE DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition]=""1""",Y,RH,,,,
lupus,baseline_health_status,,,,,,,,,radio,Systemic lupus erythematosus/Mixed connective tissue disease,"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
rheumatoid_arthritis,baseline_health_status,,,,,,,,,radio,Rheumatoid arthritis/juvenile idiopathic arthritis/psoriatic arthritis,"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
psoriasis,baseline_health_status,,,,,,,,,radio,Psoriasis,"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
scleroderma,baseline_health_status,,,,,,,,,radio,Scleroderma,"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
vasculitis_hx,baseline_health_status,,,,,,,,,radio,Vasculitis,"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
kawasaki_disease_hx,baseline_health_status,,,,,,,,,radio,History of Kawasaki Disease or Atypical Kawasaki Disease (prior to this illness),"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
rheum_autoimmune_other,baseline_health_status,,,,,,,,,radio,Other underlying rheumatologic/autoimmune disorder?,"1, Yes | 0, No",,,,,,"[rheum_autoimmune_hx]=""1""",Y,RH,,,,
rheum_autoim_oth_list,baseline_health_status,,,Notes,,,,,,text,Other,,,,,,,"[rheum_autoimmune_other]=""1""",Y,,,,,
hematologic_hx,baseline_health_status,"Hematologic Disorder, including:

- Congenital bleeding disorder (e.g. hemophilia, von Willebrand)
- Sickle cell disease
- Other hemoglobinopathy (e.g. thalassemia)
- Bone marrow failure pre-transplant
- Chronic thrombocytopenia
- History of deep venous thrombosis or thrombotic disorder
- Other",,,,,,,,radio,Does the participant have a HEMATOLOGIC DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition]=""1""",Y,RH,,,,
congenital_bleeding,baseline_health_status,,,,,,,,,radio,"Congenital Bleeding Disorder (e.g. hemophilia, von Willebrand)","1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
sickle_cell_disease,baseline_health_status,,,,,,,,,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
hemoglobinopathy,baseline_health_status,,,,,,,,,radio,Other hemoglobinopathy (e.g. thalassemia),"1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
bone_marrow_failure,baseline_health_status,,,,,,,,,radio,Bone marrow failure (pre-transplant),"1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
chron_thrombocytopenia,baseline_health_status,,,,,,,,,radio,Chronic thrombocytopenia,"1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
dvt_thrombotic,baseline_health_status,,,,,,,,,radio,History of deep venous thrombosis or thrombotic disorder,"1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
hematologic_other,baseline_health_status,,,,,,,,,radio,Other underlying hematologic disorder?,"1, Yes | 0, No",,,,,,"[hematologic_hx]=""1""",Y,RH,,,,
hematologic_other_list,baseline_health_status,,,Notes,,,,,,text,Other,,,,,,,"[hematologic_other]=""1""",Y,,,,,
renal_urologic_hx,baseline_health_status,"Renal or Urologic Dysfunction, including:

- Chronic kidney disease
- Receiving hemodialysis at least weekly
- Receiving peritoneal dialysis
- Meatitis or sterile pyuria
- Other",,,,,,,,radio,Does the participant have underlying RENAL OR UROLOGIC DYSFUNCTION?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
kidney_dx,baseline_health_status,,,,,,,,,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,"[renal_urologic_hx] = ""1""",Y,RH,,,,
hemodialysis,baseline_health_status,,,,,,,,,radio,Receiving hemodialysis at least weekly?,"1, Yes | 0, No",,,,,,"[renal_urologic_hx] = ""1""",Y,RH,,,,
peritoneal_dialysis,baseline_health_status,,,,,,,,,radio,Receiving peritoneal dialysis?,"1, Yes | 0, No",,,,,,"[renal_urologic_hx] = ""1""",Y,RH,,,,
meatitis_sterile_pyuria,baseline_health_status,,,,,,,,,radio,Meatitis or sterile pyuria noted in chart,"1, Yes | 0, No",,,,,,"[renal_urologic_hx]=""1""",Y,RH,,,,
renal_urologic_other,baseline_health_status,,,,,,,,,radio,Other underlying renal or urologic dysfunction?,"1, Yes | 0, No",,,,,,"[renal_urologic_hx] = ""1""",Y,RH,,,,
renal_urologic_other_list,baseline_health_status,,,Notes,,,,,,text,Other,,,,,,,"[renal_urologic_other]=""1""",Y,,,,,
gi_hepatic_hx,baseline_health_status,"GI and Hepatic Dysfunction, including:

- Chronic liver disease
- Gastroesophageal reflux
- Inflammatory bowel disease
- Feeding through a tube
- Other",,,,,,,,radio,Does the participant have a GASTROINTESTINAL/HEPATIC DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
chronic_liver_dx,baseline_health_status,,,,,,,,,radio,Chronic liver disease,"1, Yes | 0, No",,,,,,"[gi_hepatic_hx] = ""1""",Y,RH,,,,
gerd,baseline_health_status,,,,,,,,,radio,Gastroesophageal reflux,"1, Yes | 0, No",,,,,,"[gi_hepatic_hx] = ""1""",Y,RH,,,,
ibd,baseline_health_status,,,,,,,,,radio,Inflammatory bowel disease,"1, Yes | 0, No",,,,,,"[gi_hepatic_hx] = ""1""",Y,RH,,,,
feeding_tube,baseline_health_status,,,,,,,,,radio,Feeding through a tube,"1, Yes | 0, No",,,,,,"[gi_hepatic_hx] = ""1""",Y,RH,,,,
gi_hepatic_other,baseline_health_status,,,,,,,,,radio,Other underlying gastrointestinal/hepatic disorder?,"1, Yes | 0, No",,,,,,"[gi_hepatic_hx]=""1""",Y,RH,,,,
gi_hepatic_other_list,baseline_health_status,,,Notes,,,,,,text,Other,,,,,,,"[gi_hepatic_other]=""1""",Y,,,,,
endocrine_hx,baseline_health_status,"Endocrine Disorder, including:

- Diabetes mellitus
- Adrenal insufficiency
- Hypothyroidism
- Other",,,,,,,,radio,Does the participant have an ENDOCRINE DISORDER?,"1, Yes | 0, No",,,,,,[med_condition] = '1',Y,RH,,,,
diabetes,baseline_health_status,,,,,,,,,radio,Diabetes mellitus,"1, Yes, type I | 2, Yes, type II | 0, No",,,,,,"[endocrine_hx] =""1""",Y,,,,,
insulin_dependance,baseline_health_status,,,,,,,,,radio,Insulin dependent,"1, Yes | 0, No",,,,,,"[diabetes] = ""1"" or [diabetes]=""2""",Y,RH,,,,
other_glucose_meds,baseline_health_status,,,,,,,,,radio,Other glucose control medications,"1, Yes | 0, No",,,,,,"[diabetes] = ""1"" or [diabetes]=""2""",Y,RH,,,,
adrenal_insufficiency,baseline_health_status,,,,,,,,,radio,Adrenal insufficiency,"1, Yes | 0, No",,,,,,"[endocrine_hx]=""1""",Y,RH,,,,
hypothyroidism,baseline_health_status,,,,,,,,,radio,Hypothyroidism,"1, Yes | 0, No",,,,,,"[endocrine_hx]=""1""",Y,RH,,,,
endocrine_other,baseline_health_status,,,,,,,,,radio,Other underlying endocrine disorder?,"1, Yes | 0, No",,,,,,"[endocrine_hx]=""1""",Y,RH,,,,
endocrine_other_list,baseline_health_status,,,Notes,,,,,,text,Other,,,,,,,"[endocrine_other]=""1""",Y,,,,,
metabolic_genetic_hx,baseline_health_status,"Metabolic or Confirmed or Suspected Genetic Disorders, including:

- Obesity
- Trisomy 21
- Mitochondrial disorder
- Fatty acid oxidation defect
- Other",,,,,,,,radio,Does the participant have a METABOLIC OR CONFIRMED or SUSPECTED GENETIC DISORDER?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
obesity,baseline_health_status,,,,,,,,,radio,Obesity,"1, Yes | 0, No",,,,,,"[metabolic_genetic_hx] =""1""",Y,RH,,,,
trisomy_21,baseline_health_status,,,,,,,,,radio,Trisomy 21,"1, Yes | 0, No",,,,,,"[metabolic_genetic_hx] =""1""",Y,RH,,,,
mitchondrial_dx,baseline_health_status,,,,,,,,,radio,Mitochondrial disorder,"1, Yes | 0, No",,,,,,"[metabolic_genetic_hx] =""1""",Y,RH,,,,
fatty_oxidation_defect,baseline_health_status,,,,,,,,,radio,Fatty acid oxidation defect,"1, Yes | 0, No",,,,,,"[metabolic_genetic_hx] =""1""",Y,RH,,,,
metabolic_genetic_oth,baseline_health_status,,,,,,,,,radio,Other underlying metabolic or genetic disorder,"1, Yes | 0, No",,,,,,"[metabolic_genetic_hx] =""1""",Y,RH,,,,
metabolic_genetic_oth_list,baseline_health_status,,,Notes,,,,,,text,Other,,,,,,,"[metabolic_genetic_oth] = ""1""",Y,,,,,
other_hx,baseline_health_status,Other Underlying Ongoing Conditions,,,,,,,,radio,Does the participant have OTHER UNDERLYING ONGOING CONDITIONS NOT COVERED ABOVE?,"1, Yes | 0, No",,,,,,"[med_condition] = ""1""",Y,RH,,,,
other_hx_list,baseline_health_status,,,Notes,,,,,,text,Please name each condition,,,,,,,"[other_hx] = ""1""",Y,,,,,
entry_to_hosp_na,entry_into_healthcare_system,,N/A,, Yes,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[elig] <> ""1""",,LV,,,,
